Event Description,Experience Type (exposure categories) ,Traumatic/ Non-Traumatic,Trauma severity (High/ Moderate/ Low),Type of Trauma
witnessed a leaf falling from a tree,Witnessed (W),Non-Traumatic,Low,Miscellaneous
lost a foot due to frostbite,Experienced Directly (ED),Traumatic,High,Actual physical injury
witnessed a stranger being raped,Witnessed (W),Traumatic,High,Sexual content
was tackled by a security officer,Experienced Directly (ED),Traumatic,Moderate,Human perpetrator
visited family members in another country,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
received chemotherapy,Experienced Directly (ED),Traumatic,High,Health/Medical
watched a consensual pornographic film involving violence,Witnessed (W),Traumatic,High,Sexual content
was in a boat that capsized during a storm,Experienced Directly (ED),Traumatic,High,Threat of death
lost a finger during an IED explosion,Experienced Directly (ED),Traumatic,High,Actual physical injury
was injured by a propane tank explosion,Experienced Directly (ED),Traumatic,High,Actual physical injury
was scolded by parents,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
had an elective belly-button piercing,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was shot at while working as a police officer,Experienced Directly (ED),Traumatic,High,Threat of death
developed a rash on an arm,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical
witnessed a friend have a panic attack,Witnessed (W),Non-Traumatic,Low,Close interpersonal victim
read a fortune from a fortune cookie,Learned About (LA),Non-Traumatic,Low,Miscellaneous
read newspaper coverage of the torture of prisoners of war,Learned About (LA),Non-Traumatic,Moderate,Threat to moral worldview
lost an eye in a kitchen accident,Experienced Directly (ED),Traumatic,High,Actual physical injury
was called a racial slur by a step-parent,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
witnessed maimed human corpses while working in a refugee camp,Witnessed (W),Traumatic,High,Actual death
had both arms amputated for medical reasons,Experienced Directly (ED),Traumatic,High,Health/Medical
had a painful hangnail,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
was verbally threatened with murder,Experienced Directly (ED),Traumatic,High,Threat of death
lost several fingers in a fireworks accident,Experienced Directly (ED),Traumatic,High,Actual physical injury
saw a giraffe at the zoo,Witnessed (W),Non-Traumatic,Low,Miscellaneous
had a car stolen,Experienced Directly (ED),Traumatic,Moderate,Loss of possessions
witnessed a friend being beaten to death,Witnessed (W),Traumatic,High,Actual death
lost a home in a fire,Experienced Directly (ED),Traumatic,High,Loss of possessions
witnessed maimed human corpses while working as an emergency medical technician (EMT),Experienced Directly (ED),Traumatic,High,Actual death
became trapped in an underground mine,Experienced Directly (ED),Traumatic,High,Threat of physical injury
read a book in which a child was raped and murdered,Learned About (LA),Traumatic,High,Sexual content
wrote a thank-you card,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
hosted a garage sale,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
volunteered at a soup kitchen,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
ate a sandwich,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
perpetrated a murder,Experienced Directly (ED),Traumatic,High,Actual death
failed out of college,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
learned about a family member being beheaded,Learned About (LA),Traumatic,High,Actual death
was injected using a needle by a doctor,Experienced Directly (ED),Non-Traumatic,Moderate,Health/Medical
learned that a family member was beaten until unconscious,Learned About (LA),Traumatic,High,Close interpersonal victim
